feed_url,category
https://auto.economictimes.indiatimes.com/rss/topstories,news
https://auto.economictimes.indiatimes.com/rss/recentstories,news
https://auto.economictimes.indiatimes.com/rss/auto-technology,news
https://auto.economictimes.indiatimes.com/rss/passenger-vehicle,news
https://auto.economictimes.indiatimes.com/rss/passenger-vehicle/uv,news
https://auto.economictimes.indiatimes.com/rss/passenger-vehicle/cars,news
https://auto.economictimes.indiatimes.com/rss/two-wheelers,news
https://auto.economictimes.indiatimes.com/rss/auto-components,news
https://auto.economictimes.indiatimes.com/rss/latest-stories,news
https://auto.economictimes.indiatimes.com/rss/tyres,news
https://auto.economictimes.indiatimes.com/rss/industry,news
https://auto.economictimes.indiatimes.com/rss/oil-and-lubes,news
https://auto.economictimes.indiatimes.com/rss/commercial-vehicle,news
https://auto.economictimes.indiatimes.com/rss/commercial-vehicle/mhcv,news
https://auto.economictimes.indiatimes.com/rss/commercial-vehicle/lcv,news
https://auto.economictimes.indiatimes.com/rss/aftermarket,news
https://auto.economictimes.indiatimes.com/rss/auto-finance,news
https://auto.economictimes.indiatimes.com/rss/automotive,news
https://auto.economictimes.indiatimes.com/rss/automotive/off-highway,news
https://auto.economictimes.indiatimes.com/rss/automotive/construction-equipment,news
https://auto.economictimes.indiatimes.com/rss/automotive/farm-equipment,news
https://auto.economictimes.indiatimes.com/rss/raw-material,news
https://www.automotive-iq.com/rss/articles,news
https://www.automotive-iq.com/rss/case-studies,news
https://www.automotive-iq.com/rss/news,news
https://www.automotive-iq.com/rss/reports,news
https://www.automotive-iq.com/rss/webinars,news
https://www.autocarpro.in/rssfeeds/all,news
https://auto.hindustantimes.com/rss/trending,news
https://auto.hindustantimes.com/rss/latest-news,news
https://auto.hindustantimes.com/rss/auto,news
https://automotive.einnews.com/all_rss#,news
https://www.tyremarket.com/tyremantra/rss,news
https://nsearchives.nseindia.com/content/RSS/Online_announcements.xml,press
https://nsearchives.nseindia.com/content/RSS/Annual_Reports.xml,filing
https://nsearchives.nseindia.com/content/RSS/Board_Meetings.xml,filing
https://nsearchives.nseindia.com/content/RSS/brsr.xml,filing
https://nsearchives.nseindia.com/content/RSS/Corporate_action.xml,filing
https://nsearchives.nseindia.com/content/RSS/Corporate_Governance.xml,filing
https://nsearchives.nseindia.com/content/RSS/Daily_Buyback.xml,filing
https://nsearchives.nseindia.com/content/RSS/Financial_Results.xml,filing
https://nsearchives.nseindia.com/content/RSS/Insider_Trading.xml,filing
https://nsearchives.nseindia.com/content/RSS/Investor_Complaints.xml,filing
https://nsearchives.nseindia.com/content/RSS/Offer_Documents.xml,filing
https://nsearchives.nseindia.com/content/RSS/Related_Party_Trans.xml,filing
https://nsearchives.nseindia.com/content/RSS/Sast_Regulation29.xml,filing
https://nsearchives.nseindia.com/content/RSS/Sast_Regulation31.xml,filing
https://nsearchives.nseindia.com/content/RSS/Sast_ReasonForEncumbrance.xml,filing
https://nsearchives.nseindia.com/content/RSS/Secretarial_Compliance.xml,filing
https://nsearchives.nseindia.com/content/RSS/Share_Transfers.xml,filing
https://nsearchives.nseindia.com/content/RSS/Shareholding_Pattern.xml,filing
https://nsearchives.nseindia.com/content/RSS/Statement_Of_Deviation.xml,filing
https://nsearchives.nseindia.com/content/RSS/Unitholding_Patterns.xml,filing
https://nsearchives.nseindia.com/content/RSS/Voting_Results.xml,filing
