feed_url,category
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APOLLOTYRES&type=10&dateb=&owner=exclude&count=40&search_text=,filing
https://feeds.finance.yahoo.com/rss/2.0/headline?s=APOLLOTYRES,news
https://seekingalpha.com/api/v3/newsfeed?symbols=APOLLOTYRES&until=0,news
https://feeds.marketwatch.com/marketwatch/daily/apollotyres,news
https://news.google.com/rss/search?q=Apollo%20Tyres&hl=en-US&gl=US&ceid=US:en,news
https://www.reuters.com/finance/stocks/APOLLOTYRES/news,news
https://stocktwits.com/api/feeds/APOLLOTYRES,news
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INDAGINGROUP&type=10&dateb=&owner=exclude&count=40&search_text=,filing
https://feeds.finance.yahoo.com/rss/2.0/headline?s=INDAGINGROUP,news
https://seekingalpha.com/api/v3/newsfeed?symbols=INDAGINGROUP&until=0,news
https://feeds.marketwatch.com/marketwatch/daily/indagingroup,news
https://news.google.com/rss/search?q=Indag&hl=en-US&gl=US&ceid=US:en,news
https://www.reuters.com/finance/stocks/INDAGINGROUP/news,news
https://stocktwits.com/api/feeds/INDAGINGROUP,news
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CEAT&type=10&dateb=&owner=exclude&count=40&search_text=,filing
https://feeds.finance.yahoo.com/rss/2.0/headline?s=CEAT,news
https://seekingalpha.com/api/v3/newsfeed?symbols=CEAT&until=0,news
https://feeds.marketwatch.com/marketwatch/daily/ceat,news
https://news.google.com/rss/search?q=CEAT&hl=en-US&gl=US&ceid=US:en,news
https://www.reuters.com/finance/stocks/CEAT/news,news
https://stocktwits.com/api/feeds/CEAT,news
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JKTYRE&type=10&dateb=&owner=exclude&count=40&search_text=,filing
https://feeds.finance.yahoo.com/rss/2.0/headline?s=JKTYRE,news
https://seekingalpha.com/api/v3/newsfeed?symbols=JKTYRE&until=0,news
https://feeds.marketwatch.com/marketwatch/daily/jktyre,news
https://news.google.com/rss/search?q=JK%20Tyre&hl=en-US&gl=US&ceid=US:en,news
https://www.reuters.com/finance/stocks/JKTYRE/news,news
https://stocktwits.com/api/feeds/JKTYRE,news
https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MIDASTOUCH&type=10&dateb=&owner=exclude&count=40&search_text=,filing
https://feeds.finance.yahoo.com/rss/2.0/headline?s=MIDASTOUCH,news
https://seekingalpha.com/api/v3/newsfeed?symbols=MIDASTOUCH&until=0,news
https://feeds.marketwatch.com/marketwatch/daily/midastouch,news
https://news.google.com/rss/search?q=Midas&hl=en-US&gl=US&ceid=US:en,news
https://www.reuters.com/finance/stocks/MIDASTOUCH/news,news
https://stocktwits.com/api/feeds/MIDASTOUCH,news
